elapsed_s,fc_raw_vx,fc_raw_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,tf_px,tf_py,amcl_x,amcl_y,amcl_yaw,coupling_ratio
71.91,0.0100,-0.0100,0.0000,0.0000,0.0000,-0.0000,-0.0880,-0.1293,-0.0880,-0.1293,0.1924,0.0041,-22.30,0.000000
72.41,0.0200,-0.0100,0.0200,0.0000,0.0000,-0.0000,-0.0862,-0.1293,-0.0862,-0.1293,0.1924,0.0041,-22.30,0.000000
72.91,0.0100,-0.0100,0.0000,0.0000,0.0000,-0.0000,-0.0843,-0.1293,-0.0843,-0.1293,0.1924,0.0041,-22.30,0.000000
73.41,0.0100,-0.0100,0.0000,0.0000,0.0000,-0.0000,-0.0843,-0.1293,-0.0843,-0.1293,0.1924,0.0041,-22.30,0.000000
73.91,0.0000,-0.0100,0.0000,0.0000,0.0000,-0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
74.43,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
74.94,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
75.44,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
75.94,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
76.44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
76.95,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
77.45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
77.95,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
78.45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
78.96,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
79.46,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
79.96,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
80.47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
80.97,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
81.47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
81.97,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
82.47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
82.99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
83.49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
83.99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
84.49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
85.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
85.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,-0.1293,-0.0842,-0.1293,0.1924,0.0041,-22.30,0.000000
