elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,tf_px,tf_py,dir_flag
12.17,0.0300,-0.0000,0.0300,0.0000,0.0418,-0.0000,0.5294,0.0251,0
12.38,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.5311,0.0251,0
12.58,0.0100,-0.0100,0.0000,0.0000,-0.0002,-0.0000,0.5311,0.0251,0
12.78,0.0200,-0.0200,0.0200,-0.0200,0.0200,-0.0200,0.5331,0.0238,0
12.98,0.0200,-0.0200,0.0200,-0.0200,0.0200,-0.0200,0.5369,0.0200,0
13.18,0.0200,-0.0100,0.0200,0.0000,0.0200,-0.0000,0.5413,0.0175,0
13.38,0.0300,-0.0100,0.0300,0.0000,0.0300,-0.0000,0.5469,0.0175,0
13.58,0.0200,-0.0100,0.0200,0.0000,0.0200,-0.0000,0.5524,0.0175,0
13.78,0.0100,-0.0100,0.0000,0.0000,0.0002,-0.0002,0.5559,0.0165,0
13.98,0.0100,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.5559,0.0165,0
14.20,-0.0000,-0.0100,0.0000,0.0000,0.0000,-0.0000,0.5559,0.0165,0
14.40,-0.0000,-0.0200,0.0000,-0.0200,0.0000,-0.0180,0.5559,0.0165,0
14.60,-0.0000,-0.0200,0.0000,-0.0200,0.0000,-0.0200,0.5559,0.0127,0
14.80,-0.0000,-0.0200,0.0000,-0.0200,0.0000,-0.0200,0.5559,0.0084,0
15.01,-0.0000,-0.0200,0.0000,-0.0200,-0.0000,-0.0200,0.5559,0.0043,0
15.21,-0.0000,-0.0200,0.0000,-0.0200,-0.0000,-0.0200,0.5559,0.0002,0
15.42,-0.0000,-0.0200,0.0000,-0.0200,-0.0000,-0.0200,0.5559,-0.0038,0
15.62,-0.0100,-0.0200,0.0000,-0.0200,-0.0000,-0.0200,0.5559,-0.0082,0
15.82,-0.0400,-0.0200,-0.0400,-0.0200,-0.0367,-0.0200,0.5531,-0.0105,0
16.02,-0.1400,-0.0100,-0.1400,0.0000,-0.1139,-0.0002,0.5378,-0.0119,0
16.22,-0.2500,-0.0000,-0.2500,0.0000,-0.2141,0.0002,0.5046,-0.0118,0
16.43,-0.3300,-0.0000,-0.3300,0.0000,-0.3020,-0.0000,0.4530,-0.0119,0
16.64,-0.3600,0.0100,-0.3600,0.0000,-0.3585,-0.0033,0.3826,-0.0120,0
16.84,-0.3100,0.0200,-0.3200,0.0200,-0.3303,0.0001,0.3088,-0.0120,0
17.04,-0.2300,0.0200,-0.2400,0.0200,-0.2594,0.0000,0.2543,-0.0120,0
17.24,-0.1500,0.0200,-0.1500,0.0200,-0.1786,0.0020,0.2042,-0.0119,0
17.45,-0.0600,-0.0000,-0.0600,0.0000,-0.0754,0.0011,0.1788,-0.0117,0
17.65,-0.0000,-0.0000,0.0000,0.0000,-0.0004,0.0000,0.1725,-0.0117,0
17.85,0.0100,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.1725,-0.0117,0
18.05,0.0100,-0.0000,0.0000,0.0000,0.0015,-0.0000,0.1729,-0.0116,0
18.26,0.0100,-0.0100,0.0000,0.0000,-0.0000,0.0000,0.1742,-0.0116,0
18.46,-0.0000,-0.0100,0.0000,0.0000,-0.0000,-0.0000,0.1742,-0.0131,0
18.66,-0.0000,-0.0100,0.0000,0.0000,-0.0000,-0.0000,0.1742,-0.0131,0
18.86,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.1742,-0.0131,0
19.06,-0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0001,0.1742,-0.0131,0
19.27,-0.0100,-0.0100,0.0000,0.0000,-0.0000,0.0000,0.1742,-0.0131,0
